0,1,2,3,4,5,6,7,8,9,10
sausage,pork,,,,,,,,,
vinegar,newspapers,,,,,,,,,
soups,specialty bar,soda,whipped/sour cream,,,,,,,
bottled beer,tropical fruit,sliced cheese,dishes,,,,,,,
canned beer,chocolate,,,,,,,,,
other vegetables,cream cheese ,yogurt,yogurt,whole milk,waffles,curd,fruit/vegetable juice,,,
beverages,tropical fruit,,,,,,,,,
long life bakery product,yogurt,,,,,,,,,
other vegetables,UHT-milk,,,,,,,,,
tropical fruit,canned beer,,,,,,,,,
napkins,margarine,,,,,,,,,
other vegetables,cookware,canned beer,canned beer,frozen vegetables,butter,ice cream,bottled water,,,
margarine,margarine,,,,,,,,,
white wine,ham,whole milk,coffee,bottled water,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
soda,instant coffee,,,,,,,,,
butter milk,waffles,,,,,,,,,
onions,pastry,shopping bags,,,,,,,,
canned beer,whipped/sour cream,,,,,,,,,
curd,whole milk,canned beer,,,,,,,,
soda,frozen vegetables,cream cheese ,,,,,,,,
hamburger meat,frozen vegetables,cream cheese ,,,,,,,,
pip fruit,onions,frozen fish,meat,semi-finished bread,root vegetables,bottled water,whipped/sour cream,,,
whole milk,canned beer,specialty bar,sugar,detergent,,,,,,
canned beer,shopping bags,rolls/buns,yogurt,butter milk,,,,,,
brown bread,pot plants,,,,,,,,,
white wine,waffles,,,,,,,,,
beef,bottled water,,,,,,,,,
whole milk,long life bakery product,,,,,,,,,
tropical fruit,frozen fish,domestic eggs,mustard,,,,,,,
grapes,berries,brown bread,,,,,,,,
specialty chocolate,white bread,shopping bags,,,,,,,,
bottled water,margarine,,,,,,,,,
frozen vegetables,canned beer,,,,,,,,,
butter milk,margarine,,,,,,,,,
hygiene articles,skin care,,,,,,,,,
sausage,pot plants,,,,,,,,,
packaged fruit/vegetables,frozen vegetables,,,,,,,,,
rolls/buns,whole milk,,,,,,,,,
pastry,other vegetables,,,,,,,,,
yogurt,whole milk,abrasive cleaner,,,,,,,,
tropical fruit,grapes,,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
syrup,newspapers,processed cheese,rolls/buns,,,,,,,
chicken,citrus fruit,sugar,,,,,,,,
tropical fruit,soft cheese,,,,,,,,,
frankfurter,frozen meals,dishes,,,,,,,,
citrus fruit,processed cheese,,,,,,,,,
chicken,onions,,,,,,,,,
brown bread,soda,,,,,,,,,
yogurt,shopping bags,,,,,,,,,
citrus fruit,sliced cheese,,,,,,,,,
tropical fruit,domestic eggs,,,,,,,,,
whole milk,domestic eggs,syrup,,,,,,,,
bottled beer,tropical fruit,domestic eggs,baking powder,,,,,,,
tropical fruit,pastry,,,,,,,,,
pip fruit,curd,,,,,,,,,
canned beer,bottled water,,,,,,,,,
liquor,rolls/buns,frozen meals,,,,,,,,
bottled water,soda,,,,,,,,,
rolls/buns,oil,fruit/vegetable juice,,,,,,,,
root vegetables,rolls/buns,,,,,,,,,
beverages,bottled water,,,,,,,,,
other vegetables,frankfurter,root vegetables,newspapers,,,,,,,
rolls/buns,frozen vegetables,,,,,,,,,
pip fruit,margarine,,,,,,,,,
white bread,whole milk,white bread,whole milk,newspapers,rolls/buns,canned beer,whole milk,,,
other vegetables,yogurt,,,,,,,,,
citrus fruit,citrus fruit,bottled water,pastry,,,,,,,
soda,liquor (appetizer),,,,,,,,,
pork,pip fruit,chocolate,,,,,,,,
rolls/buns,hygiene articles,fruit/vegetable juice,,,,,,,,
pip fruit,meat,frozen vegetables,bottled water,,,,,,,
whole milk,rolls/buns,,,,,,,,,
mayonnaise,misc. beverages,napkins,,,,,,,,
whipped/sour cream,hard cheese,,,,,,,,,
pork,processed cheese,,,,,,,,,
pip fruit,soda,,,,,,,,,
coffee,salty snack,,,,,,,,,
pork,grapes,hygiene articles,,,,,,,,
tropical fruit,ice cream,butter milk,domestic eggs,,,,,,,
curd,whipped/sour cream,,,,,,,,,
fruit/vegetable juice,cream cheese ,,,,,,,,,
meat,grapes,,,,,,,,,
whole milk,baking powder,newspapers,,,,,,,,
pip fruit,curd,pip fruit,prosecco,,,,,,,
berries,pasta,soda,canned vegetables,,,,,,,
citrus fruit,chicken,,,,,,,,,
semi-finished bread,other vegetables,,,,,,,,,
tropical fruit,dessert,white bread,bottled water,,,,,,,
pastry,liqueur,,,,,,,,,
soda,rolls/buns,,,,,,,,,
sausage,ice cream,rolls/buns,,,,,,,,
ham,whole milk,,,,,,,,,
pastry,bottled beer,,,,,,,,,
rolls/buns,newspapers,,,,,,,,,
root vegetables,dog food,,,,,,,,,
pastry,liquor,shopping bags,,,,,,,,
tropical fruit,meat,hard cheese,jam,,,,,,,
frozen potato products,whole milk,,,,,,,,,
canned beer,misc. beverages,yogurt,rolls/buns,,,,,,,
sliced cheese,root vegetables,whipped/sour cream,,,,,,,,
frozen vegetables,other vegetables,,,,,,,,,
chicken,other vegetables,,,,,,,,,
chicken,whole milk,canned beer,,,,,,,,
canned beer,citrus fruit,,,,,,,,,
sausage,bottled beer,,,,,,,,,
packaged fruit/vegetables,waffles,,,,,,,,,
root vegetables,whole milk,napkins,,,,,,,,
other vegetables,bottled water,,,,,,,,,
whole milk,citrus fruit,shopping bags,white wine,soda,yogurt,,,,,
mayonnaise,frozen vegetables,processed cheese,,,,,,,,
citrus fruit,shopping bags,,,,,,,,,
coffee,packaged fruit/vegetables,pickled vegetables,,,,,,,,
pastry,hard cheese,,,,,,,,,
rolls/buns,hamburger meat,,,,,,,,,
chicken,yogurt,newspapers,shopping bags,rolls/buns,domestic eggs,,,,,
sweet spreads,soda,,,,,,,,,
whole milk,red/blush wine,shopping bags,cream cheese ,canned beer,,,,,,
bottled water,soda,,,,,,,,,
ham,sausage,detergent,whipped/sour cream,yogurt,dishes,,,,,
cake bar,red/blush wine,,,,,,,,,
tropical fruit,rolls/buns,,,,,,,,,
sausage,shopping bags,shopping bags,,,,,,,,
sausage,berries,,,,,,,,,
frankfurter,sausage,yogurt,soda,coffee,,,,,,
kitchen towels,bottled water,citrus fruit,butter,hygiene articles,,,,,,
spread cheese,specialty chocolate,sugar,,,,,,,,
pip fruit,hard cheese,,,,,,,,,
pork,male cosmetics,pastry,chewing gum,brandy,,,,,,
sausage,bottled beer,,,,,,,,,
pasta,hygiene articles,,,,,,,,,
pip fruit,hard cheese,detergent,,,,,,,,
hamburger meat,dish cleaner,,,,,,,,,
packaged fruit/vegetables,chewing gum,ham,condensed milk,soda,,,,,,
zwieback,salty snack,,,,,,,,,
dessert,packaged fruit/vegetables,,,,,,,,,
canned fish,canned fish,,,,,,,,,
soda,tropical fruit,other vegetables,bottled water,,,,,,,
brown bread,yogurt,,,,,,,,,
whole milk,canned beer,processed cheese,,,,,,,,
waffles,specialty chocolate,,,,,,,,,
tropical fruit,whole milk,,,,,,,,,
citrus fruit,yogurt,coffee,,,,,,,,
UHT-milk,whole milk,herbs,,,,,,,,
butter milk,whole milk,,,,,,,,,
sausage,canned fish,,,,,,,,,
ham,other vegetables,,,,,,,,,
pork,rolls/buns,,,,,,,,,
candy,yogurt,,,,,,,,,
pip fruit,artif. sweetener,hygiene articles,,,,,,,,
nut snack,bottled beer,,,,,,,,,
frankfurter,canned fish,beverages,,,,,,,,
pip fruit,other vegetables,rolls/buns,,,,,,,,
bottled water,curd,domestic eggs,yogurt,newspapers,,,,,,
coffee,domestic eggs,,,,,,,,,
domestic eggs,dessert,,,,,,,,,
other vegetables,citrus fruit,,,,,,,,,
ham,domestic eggs,,,,,,,,,
yogurt,sliced cheese,,,,,,,,,
whole milk,bottled water,,,,,,,,,
other vegetables,beverages,,,,,,,,,
other vegetables,sliced cheese,,,,,,,,,
rolls/buns,pastry,,,,,,,,,
meat,other vegetables,margarine,,,,,,,,
bottled water,rolls/buns,,,,,,,,,
dessert,other vegetables,,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
brown bread,yogurt,,,,,,,,,
cat food,whole milk,,,,,,,,,
rolls/buns,curd,,,,,,,,,
specialty chocolate,root vegetables,,,,,,,,,
coffee,whipped/sour cream,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
cat food,bottled beer,beef,brown bread,margarine,rolls/buns,,,,,
root vegetables,white wine,,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
whole milk,oil,,,,,,,,,
UHT-milk,condensed milk,pastry,,,,,,,,
rolls/buns,chicken,whipped/sour cream,canned beer,baking powder,,,,,,
bottled water,herbs,,,,,,,,,
pip fruit,berries,,,,,,,,,
other vegetables,pot plants,yogurt,salty snack,,,,,,,
pork,rum,,,,,,,,,
chicken,whole milk,newspapers,,,,,,,,
sausage,sausage,domestic eggs,dish cleaner,rolls/buns,other vegetables,soda,,,,
pip fruit,bottled water,,,,,,,,,
light bulbs,yogurt,,,,,,,,,
butter milk,fruit/vegetable juice,,,,,,,,,
yogurt,sauces,,,,,,,,,
pork,cream cheese ,,,,,,,,,
coffee,other vegetables,,,,,,,,,
chicken,other vegetables,frozen meals,,,,,,,,
soda,shopping bags,coffee,,,,,,,,
other vegetables,soda,,,,,,,,,
pork,condensed milk,bottled beer,other vegetables,candy,,,,,,
liquor (appetizer),cat food,,,,,,,,,
other vegetables,domestic eggs,bottled beer,,,,,,,,
citrus fruit,yogurt,rolls/buns,,,,,,,,
frankfurter,misc. beverages,,,,,,,,,
pastry,curd,butter,curd,whipped/sour cream,,,,,,
salt,citrus fruit,,,,,,,,,
other vegetables,canned vegetables,canned beer,,,,,,,,
meat,whole milk,,,,,,,,,
canned beer,yogurt,,,,,,,,,
frozen vegetables,dessert,,,,,,,,,
onions,citrus fruit,frozen vegetables,coffee,,,,,,,
berries,curd,,,,,,,,,
rolls/buns,beef,coffee,,,,,,,,
domestic eggs,butter,beverages,,,,,,,,
specialty chocolate,candles,,,,,,,,,
root vegetables,margarine,,,,,,,,,
male cosmetics,canned beer,,,,,,,,,
sausage,oil,whole milk,,,,,,,,
rolls/buns,curd,,,,,,,,,
meat,beef,curd,,,,,,,,
chewing gum,softener,,,,,,,,,
other vegetables,domestic eggs,,,,,,,,,
pastry,whipped/sour cream,pickled vegetables,,,,,,,,
whole milk,pastry,,,,,,,,,
pastry,vinegar,salty snack,,,,,,,,
pork,flour,,,,,,,,,
meat,citrus fruit,chocolate,pastry,rolls/buns,,,,,,
domestic eggs,domestic eggs,,,,,,,,,
light bulbs,whipped/sour cream,,,,,,,,,
sausage,pip fruit,soda,curd,waffles,,,,,,
seasonal products,white bread,specialty chocolate,soda,,,,,,,
pork,sliced cheese,,,,,,,,,
citrus fruit,soda,butter,bottled water,bottled beer,,,,,,
other vegetables,shopping bags,,,,,,,,,
pip fruit,rolls/buns,,,,,,,,,
yogurt,yogurt,,,,,,,,,
sausage,male cosmetics,,,,,,,,,
whole milk,hard cheese,,,,,,,,,
tropical fruit,sausage,hamburger meat,zwieback,specialty cheese,domestic eggs,,,,,
canned beer,canned beer,,,,,,,,,
ham,frankfurter,bottled water,shopping bags,specialty cheese,,,,,,
citrus fruit,frozen meals,coffee,seasonal products,yogurt,soups,,,,,
sausage,rolls/buns,,,,,,,,,
root vegetables,root vegetables,,,,,,,,,
white bread,bottled water,,,,,,,,,
bottled beer,bottled water,,,,,,,,,
soda,processed cheese,,,,,,,,,
white bread,coffee,,,,,,,,,
tropical fruit,white bread,,,,,,,,,
cat food,ham,whipped/sour cream,canned beer,,,,,,,
bottled beer,canned beer,,,,,,,,,
butter,brown bread,,,,,,,,,
whole milk,frozen vegetables,bottled beer,specialty cheese,chewing gum,,,,,,
butter milk,soda,rolls/buns,,,,,,,,
rolls/buns,misc. beverages,,,,,,,,,
tropical fruit,frozen vegetables,rice,,,,,,,,
herbs,chewing gum,,,,,,,,,
ham,beef,sliced cheese,butter milk,,,,,,,
other vegetables,hamburger meat,citrus fruit,dish cleaner,coffee,coffee,mayonnaise,newspapers,,,
other vegetables,rolls/buns,beverages,,,,,,,,
curd,red/blush wine,,,,,,,,,
semi-finished bread,rolls/buns,fruit/vegetable juice,tropical fruit,,,,,,,
yogurt,napkins,rolls/buns,liquor (appetizer),,,,,,,
chicken,misc. beverages,,,,,,,,,
root vegetables,soda,,,,,,,,,
ham,whipped/sour cream,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
curd,frankfurter,white bread,pip fruit,waffles,,,,,,
sausage,frozen dessert,,,,,,,,,
soft cheese,flower (seeds),,,,,,,,,
canned beer,cream cheese ,,,,,,,,,
sliced cheese,yogurt,,,,,,,,,
rolls/buns,curd cheese,,,,,,,,,
bottled water,sliced cheese,,,,,,,,,
other vegetables,beverages,fruit/vegetable juice,prosecco,other vegetables,ice cream,soda,root vegetables,,,
tropical fruit,frozen meals,,,,,,,,,
onions,yogurt,white bread,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
pork,fruit/vegetable juice,,,,,,,,,
hamburger meat,sausage,frankfurter,soda,root vegetables,coffee,chewing gum,pastry,,,
whole milk,soda,,,,,,,,,
pork,tropical fruit,,,,,,,,,
napkins,other vegetables,,,,,,,,,
fruit/vegetable juice,frozen vegetables,chocolate,,,,,,,,
grapes,long life bakery product,,,,,,,,,
whole milk,citrus fruit,,,,,,,,,
photo/film,canned beer,,,,,,,,,
house keeping products,cat food,,,,,,,,,
frankfurter,whole milk,red/blush wine,rolls/buns,,,,,,,
pork,hard cheese,,,,,,,,,
yogurt,brown bread,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
ham,other vegetables,,,,,,,,,
frozen meals,whole milk,,,,,,,,,
pip fruit,detergent,,,,,,,,,
yogurt,domestic eggs,,,,,,,,,
hamburger meat,whipped/sour cream,,,,,,,,,
pip fruit,whole milk,,,,,,,,,
dishes,onions,canned beer,,,,,,,,
pip fruit,whipped/sour cream,,,,,,,,,
sugar,bottled water,,,,,,,,,
other vegetables,butter,,,,,,,,,
whole milk,white bread,newspapers,,,,,,,,
tropical fruit,bottled beer,,,,,,,,,
soda,red/blush wine,root vegetables,butter milk,,,,,,,
tropical fruit,citrus fruit,,,,,,,,,
other vegetables,fruit/vegetable juice,,,,,,,,,
citrus fruit,butter,,,,,,,,,
salty snack,white wine,,,,,,,,,
shopping bags,coffee,,,,,,,,,
newspapers,shopping bags,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
beef,bottled beer,,,,,,,,,
pip fruit,shopping bags,,,,,,,,,
candy,specialty fat,,,,,,,,,
oil,whipped/sour cream,pip fruit,whole milk,,,,,,,
other vegetables,shopping bags,soda,,,,,,,,
tropical fruit,UHT-milk,,,,,,,,,
beverages,coffee,,,,,,,,,
soft cheese,frozen vegetables,,,,,,,,,
bottled water,whisky,,,,,,,,,
pastry,rolls/buns,,,,,,,,,
meat,root vegetables,,,,,,,,,
onions,grapes,,,,,,,,,
napkins,bottled water,,,,,,,,,
meat,rolls/buns,,,,,,,,,
chicken,yogurt,waffles,,,,,,,,
grapes,pickled vegetables,,,,,,,,,
other vegetables,skin care,,,,,,,,,
chicken,coffee,,,,,,,,,
whipped/sour cream,curd,,,,,,,,,
whole milk,chocolate,packaged fruit/vegetables,rolls/buns,,,,,,,
napkins,other vegetables,pot plants,,,,,,,,
condensed milk,domestic eggs,,,,,,,,,
soda,specialty cheese,candy,,,,,,,,
onions,cream cheese ,baking powder,,,,,,,,
other vegetables,beverages,,,,,,,,,
pip fruit,hamburger meat,brown bread,cream cheese ,curd,,,,,,
pork,margarine,,,,,,,,,
soft cheese,pickled vegetables,,,,,,,,,
beef,curd,,,,,,,,,
UHT-milk,frozen meals,,,,,,,,,
rolls/buns,brown bread,,,,,,,,,
chewing gum,domestic eggs,packaged fruit/vegetables,,,,,,,,
whole milk,white bread,,,,,,,,,
yogurt,other vegetables,,,,,,,,,
hamburger meat,popcorn,,,,,,,,,
detergent,rolls/buns,,,,,,,,,
tropical fruit,condensed milk,,,,,,,,,
grapes,other vegetables,domestic eggs,,,,,,,,
butter,butter milk,,,,,,,,,
soda,pip fruit,,,,,,,,,
meat,canned beer,yogurt,,,,,,,,
pot plants,pip fruit,,,,,,,,,
soda,curd,,,,,,,,,
pork,yogurt,,,,,,,,,
bottled water,whole milk,,,,,,,,,
pip fruit,specialty bar,,,,,,,,,
sweet spreads,bottled beer,,,,,,,,,
photo/film,whole milk,,,,,,,,,
tropical fruit,cat food,,,,,,,,,
frozen dessert,flower (seeds),,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
rolls/buns,other vegetables,,,,,,,,,
ham,pork,pork,soda,,,,,,,
curd,whipped/sour cream,,,,,,,,,
pastry,snack products,,,,,,,,,
other vegetables,coffee,,,,,,,,,
red/blush wine,butter,soda,,,,,,,,
chicken,pip fruit,,,,,,,,,
ice cream,waffles,,,,,,,,,
beef,spread cheese,misc. beverages,,,,,,,,
tropical fruit,waffles,,,,,,,,,
liquor,domestic eggs,,,,,,,,,
frankfurter,hard cheese,bottled beer,,,,,,,,
brown bread,whipped/sour cream,,,,,,,,,
whole milk,coffee,bottled beer,,,,,,,,
soda,sugar,,,,,,,,,
frankfurter,beverages,,,,,,,,,
flower soil/fertilizer,yogurt,specialty chocolate,,,,,,,,
citrus fruit,chewing gum,brown bread,,,,,,,,
frankfurter,dishes,hygiene articles,,,,,,,,
pip fruit,misc. beverages,,,,,,,,,
photo/film,white wine,other vegetables,brown bread,canned fish,margarine,sliced cheese,,,,
whole milk,specialty chocolate,,,,,,,,,
pip fruit,flour,other vegetables,,,,,,,,
other vegetables,bottled beer,,,,,,,,,
rolls/buns,chocolate,,,,,,,,,
whole milk,pork,rolls/buns,yogurt,,,,,,,
soda,frozen vegetables,brown bread,yogurt,,,,,,,
grapes,canned beer,frozen dessert,sugar,detergent,,,,,,
canned beer,semi-finished bread,,,,,,,,,
bottled beer,pip fruit,,,,,,,,,
other vegetables,chocolate marshmallow,,,,,,,,,
whole milk,processed cheese,pastry,baking powder,fruit/vegetable juice,coffee,newspapers,,,,
soda,soda,,,,,,,,,
butter,whipped/sour cream,,,,,,,,,
meat spreads,chocolate,,,,,,,,,
cream cheese ,bottled water,rolls/buns,,,,,,,,
other vegetables,whole milk,canned fruit,,,,,,,,
citrus fruit,other vegetables,,,,,,,,,
baking powder,domestic eggs,,,,,,,,,
soda,beverages,,,,,,,,,
cat food,rolls/buns,,,,,,,,,
whole milk,fruit/vegetable juice,,,,,,,,,
tropical fruit,whole milk,long life bakery product,,,,,,,,
semi-finished bread,bottled water,,,,,,,,,
whole milk,shopping bags,,,,,,,,,
chocolate marshmallow,yogurt,soda,,,,,,,,
liquor (appetizer),onions,,,,,,,,,
frankfurter,coffee,,,,,,,,,
whipped/sour cream,white bread,,,,,,,,,
bottled water,shopping bags,,,,,,,,,
berries,ice cream,,,,,,,,,
misc. beverages,bottled beer,,,,,,,,,
meat,whipped/sour cream,,,,,,,,,
sausage,cream cheese ,,,,,,,,,
chicken,salty snack,,,,,,,,,
beef,whole milk,,,,,,,,,
rolls/buns,napkins,,,,,,,,,
curd,pork,,,,,,,,,
butter,whipped/sour cream,decalcifier,,,,,,,,
bottled beer,canned fish,,,,,,,,,
chocolate marshmallow,soda,,,,,,,,,
rolls/buns,cat food,newspapers,,,,,,,,
grapes,napkins,,,,,,,,,
shopping bags,skin care,,,,,,,,,
frankfurter,rolls/buns,,,,,,,,,
whipped/sour cream,specialty chocolate,,,,,,,,,
curd cheese,chocolate marshmallow,,,,,,,,,
other vegetables,brown bread,,,,,,,,,
root vegetables,sliced cheese,,,,,,,,,
beef,other vegetables,,,,,,,,,
sugar,bottled water,cream cheese ,,,,,,,,
frozen fruits,pot plants,,,,,,,,,
root vegetables,sugar,bottled water,white bread,,,,,,,
frankfurter,newspapers,,,,,,,,,
root vegetables,soft cheese,,,,,,,,,
photo/film,root vegetables,,,,,,,,,
chicken,rolls/buns,yogurt,pastry,,,,,,,
newspapers,newspapers,,,,,,,,,
sparkling wine,chocolate,,,,,,,,,
specialty chocolate,whole milk,red/blush wine,,,,,,,,
pork,nuts/prunes,rolls/buns,,,,,,,,
butter,skin care,rolls/buns,,,,,,,,
sausage,root vegetables,salty snack,coffee,,,,,,,
chicken,brown bread,soda,,,,,,,,
tropical fruit,UHT-milk,butter milk,,,,,,,,
curd,brown bread,,,,,,,,,
yogurt,cream cheese ,fruit/vegetable juice,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
pip fruit,snack products,,,,,,,,,
meat,chocolate,,,,,,,,,
root vegetables,canned beer,whole milk,oil,,,,,,,
tropical fruit,grapes,sausage,grapes,fruit/vegetable juice,curd,other vegetables,whipped/sour cream,,,
butter milk,whole milk,brandy,,,,,,,,
hard cheese,oil,,,,,,,,,
bottled beer,sausage,cream cheese ,frozen vegetables,,,,,,,
candy,candy,,,,,,,,,
sugar,citrus fruit,napkins,,,,,,,,
soda,yogurt,sliced cheese,,,,,,,,
rolls/buns,seasonal products,,,,,,,,,
newspapers,frozen vegetables,long life bakery product,,,,,,,,
other vegetables,beef,tropical fruit,root vegetables,shopping bags,,,,,,
yogurt,white wine,,,,,,,,,
ice cream,canned beer,,,,,,,,,
yogurt,soda,,,,,,,,,
other vegetables,yogurt,salty snack,,,,,,,,
liver loaf,chicken,rolls/buns,spread cheese,shopping bags,,,,,,
other vegetables,candy,,,,,,,,,
whole milk,napkins,pastry,long life bakery product,,,,,,,
baking powder,baking powder,mustard,,,,,,,,
other vegetables,pip fruit,,,,,,,,,
whole milk,spread cheese,,,,,,,,,
hard cheese,cream cheese ,,,,,,,,,
soda,brown bread,,,,,,,,,
whole milk,yogurt,,,,,,,,,
frozen meals,sausage,pastry,yogurt,,,,,,,
rolls/buns,instant coffee,,,,,,,,,
bottled beer,frozen vegetables,,,,,,,,,
coffee,cling film/bags,,,,,,,,,
butter,candy,,,,,,,,,
tropical fruit,dessert,,,,,,,,,
yogurt,canned beer,,,,,,,,,
red/blush wine,pip fruit,,,,,,,,,
white wine,rolls/buns,,,,,,,,,
root vegetables,newspapers,butter,,,,,,,,
soda,cake bar,,,,,,,,,
canned beer,canned beer,,,,,,,,,
other vegetables,rolls/buns,,,,,,,,,
hard cheese,flower soil/fertilizer,condensed milk,curd,,,,,,,
bottled beer,yogurt,,,,,,,,,
soda,grapes,,,,,,,,,
beef,rolls/buns,,,,,,,,,
sausage,napkins,,,,,,,,,
onions,coffee,,,,,,,,,
cream cheese ,other vegetables,,,,,,,,,
pork,whole milk,,,,,,,,,
tropical fruit,organic products,,,,,,,,,
other vegetables,soda,,,,,,,,,
citrus fruit,rolls/buns,salt,,,,,,,,
pastry,brown bread,yogurt,,,,,,,,
frozen potato products,detergent,,,,,,,,,
hamburger meat,ice cream,,,,,,,,,
pip fruit,fruit/vegetable juice,,,,,,,,,
tropical fruit,pasta,sugar,,,,,,,,
white bread,bottled water,,,,,,,,,
salty snack,sugar,,,,,,,,,
soda,shopping bags,,,,,,,,,
long life bakery product,brown bread,,,,,,,,,
root vegetables,yogurt,,,,,,,,,
soda,grapes,,,,,,,,,
citrus fruit,sliced cheese,napkins,,,,,,,,
brown bread,yogurt,,,,,,,,,
pastry,hamburger meat,newspapers,other vegetables,root vegetables,instant coffee,yogurt,domestic eggs,,,
rolls/buns,chicken,cream cheese ,dishes,,,,,,,
soda,pork,,,,,,,,,
beef,hard cheese,soft cheese,yogurt,,,,,,,
hamburger meat,rolls/buns,,,,,,,,,
frankfurter,other vegetables,root vegetables,other vegetables,,,,,,,
ham,whipped/sour cream,,,,,,,,,
candy,cake bar,,,,,,,,,
other vegetables,shopping bags,packaged fruit/vegetables,,,,,,,,
frozen meals,finished products,chocolate,other vegetables,whole milk,packaged fruit/vegetables,napkins,salty snack,,,
UHT-milk,frozen vegetables,frozen meals,,,,,,,,
soda,red/blush wine,,,,,,,,,
cat food,other vegetables,,,,,,,,,
tropical fruit,mayonnaise,other vegetables,meat,roll products ,napkins,frozen meals,newspapers,,,
rolls/buns,specialty bar,,,,,,,,,
pip fruit,newspapers,,,,,,,,,
chicken,rolls/buns,,,,,,,,,
pip fruit,white bread,margarine,baking powder,,,,,,,
onions,UHT-milk,,,,,,,,,
whole milk,salty snack,pip fruit,whole milk,,,,,,,
citrus fruit,instant coffee,,,,,,,,,
domestic eggs,specialty fat,,,,,,,,,
sausage,bottled water,,,,,,,,,
citrus fruit,other vegetables,brown bread,,,,,,,,
rolls/buns,candy,white bread,,,,,,,,
rolls/buns,dessert,coffee,,,,,,,,
canned beer,hamburger meat,,,,,,,,,
pastry,baking powder,mustard,,,,,,,,
other vegetables,newspapers,,,,,,,,,
whole milk,rolls/buns,,,,,,,,,
soda,specialty bar,,,,,,,,,
dishes,salty snack,,,,,,,,,
dessert,onions,,,,,,,,,
rolls/buns,soft cheese,,,,,,,,,
rolls/buns,waffles,,,,,,,,,
sausage,dessert,rolls/buns,pickled vegetables,,,,,,,
pork,frozen meals,canned beer,,,,,,,,
sausage,whole milk,root vegetables,soft cheese,,,,,,,
frozen chicken,dessert,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
fruit/vegetable juice,ketchup,,,,,,,,,
citrus fruit,whole milk,,,,,,,,,
soda,domestic eggs,sliced cheese,soda,,,,,,,
other vegetables,whole milk,,,,,,,,,
artif. sweetener,bottled water,butter milk,butter,soda,,,,,,
citrus fruit,root vegetables,,,,,,,,,
soda,pet care,butter,,,,,,,,
bottled water,shopping bags,,,,,,,,,
frankfurter,mustard,shopping bags,,,,,,,,
pet care,sliced cheese,,,,,,,,,
pastry,pork,,,,,,,,,
root vegetables,whole milk,potato products,,,,,,,,
beverages,yogurt,,,,,,,,,
vinegar,flour,,,,,,,,,
ketchup,potato products,,,,,,,,,
sausage,butter,,,,,,,,,
meat,liver loaf,,,,,,,,,
ham,cream cheese ,,,,,,,,,
butter,whole milk,,,,,,,,,
root vegetables,grapes,soda,,,,,,,,
napkins,photo/film,dessert,,,,,,,,
other vegetables,red/blush wine,rolls/buns,frozen vegetables,,,,,,,
whole milk,newspapers,,,,,,,,,
canned beer,soda,,,,,,,,,
meat,whole milk,brown bread,shopping bags,waffles,,,,,,
bottled beer,rolls/buns,,,,,,,,,
bottled water,chocolate,,,,,,,,,
butter,yogurt,,,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
bottled beer,pip fruit,butter,specialty bar,detergent,specialty bar,,,,,
rolls/buns,butter,,,,,,,,,
canned beer,hygiene articles,,,,,,,,,
hygiene articles,tea,,,,,,,,,
margarine,detergent,yogurt,zwieback,,,,,,,
rolls/buns,whole milk,frozen vegetables,newspapers,,,,,,,
sausage,other vegetables,,,,,,,,,
citrus fruit,waffles,,,,,,,,,
soda,rice,,,,,,,,,
chicken,soups,bottled water,,,,,,,,
sausage,frozen meals,,,,,,,,,
canned beer,fruit/vegetable juice,,,,,,,,,
citrus fruit,pork,root vegetables,dishes,curd,rolls/buns,candy,yogurt,,,
napkins,root vegetables,sliced cheese,,,,,,,,
tropical fruit,other vegetables,,,,,,,,,
pasta,yogurt,cat food,,,,,,,,
meat,ice cream,cleaner,,,,,,,,
sausage,soda,other vegetables,,,,,,,,
rolls/buns,tropical fruit,root vegetables,condensed milk,,,,,,,
dessert,pastry,hard cheese,candles,,,,,,,
soda,root vegetables,,,,,,,,,
other vegetables,soft cheese,,,,,,,,,
yogurt,citrus fruit,,,,,,,,,
pip fruit,soda,,,,,,,,,
rolls/buns,detergent,,,,,,,,,
frankfurter,bottled beer,domestic eggs,,,,,,,,
sausage,candy,,,,,,,,,
frankfurter,chocolate,,,,,,,,,
root vegetables,citrus fruit,,,,,,,,,
rolls/buns,domestic eggs,,,,,,,,,
misc. beverages,coffee,,,,,,,,,
whole milk,sausage,yogurt,other vegetables,misc. beverages,,,,,,
ice cream,white wine,soups,instant coffee,,,,,,,
brown bread,fruit/vegetable juice,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
seasonal products,other vegetables,bottled water,,,,,,,,
